para_id,gold_ids,gold_labels,sonnet_open,sonnet_closed,sonnet_n_closed,sonnet_precision,sonnet_recall,sonnet_f1
Gusmán_Entredichos_1_p3,ana_reading,Poder de la Lectura,verdad general; reserva social; patrimonio cultural; sentido común; legibilidad; sistema de valores duales; historias paralelas; alegorías,ana_ideology; ana_literature; ana_reading; ana_representacionalism; ana_rethoric; ana_resistance; ana_truth,7,0.143,1.0,0.25
Gusmán_Entredichos_1_p5,ana_representacionalism; ana_literary_genre; ana_error,"Literatura como representación de la realidad; Géneros literarios (picaresca, parodia, utopía, realismo); Teoría del Error",picaresca; populismo; censura; realismo; realidad; historia; error,ana_ideology; ana_polcult; ana_history; ana_literature; ana_literary_genre; ana_representacionalism; ana_rethoric,7,0.286,0.667,0.4
Gusmán_Entredichos_1_p6,ana_literary_genre,"Géneros literarios (picaresca, parodia, utopía, realismo)",narración picaresca; pasado como tiempo de debilidades; presente como tiempo de respetabilidad; orígenes marginales; inocencia; integración en el orden social; ironía; destinatario; ideales aplastados; olvido,ana_literary_genre; ana_history; ana_ideology; ana_representacionalism; ana_rethoric; ana_irony,6,0.167,1.0,0.286
Gusmán_Entredichos_1_p7,ana_rethoric; ana_structuralism,Procedimientos retóricos y literarios; Presencia del estructuralismo,unidad de la historia; procedimientos literarios; metáforas; repetición; conocimiento histórico; posición del lenguaje; literatura; modos de percepción; estructuralismo,ana_history; ana_langpower; ana_literature; ana_rethoric; ana_structuralism; ana_theory,6,0.333,1.0,0.5
Gusmán_Entredichos_1_p8,ana_writing,Tópico Postestructuralista,utopía; ensayo; verosimilitud; fines didácticos y morales; doctrina utópica; pensamiento plasmado en realidades sociales; deseo de reforma,ana_literary_genre; ana_essay; ana_writing; ana_rethoric; ana_representacionalism; ana_truth,6,0.167,1.0,0.286
Gusmán_Entredichos_1_p10,ana_writing,Tópico Postestructuralista,mensaje utópico; escritura; doctrina; ideales reformistas; ejemplo; responsabilidad moral; modelo; realidad; absurdo; contraste; regla aristotélica,ana_literature; ana_literary_genre; ana_representacionalism; ana_rethoric; ana_ideology; ana_truth,6,0.0,0.0,0.0
Gusmán_Entredichos_1_p12,ana_writing; ana_literature; ana_blanchot; ana_resistance,"Tópico Postestructuralista; Poder de la Literatura: diferencia radical, desvío, interrogación, silencio, ausencia; Influencia de Maurice Blanchot; Resistencia de la literatura a la adjudicación del sentido",escritura; relatos ejemplares; interpretación; imposibilidad; impotencia; fracaso; destino; Mallarmé,ana_literature; ana_resistance; ana_writing; ana_blanchot; ana_paradoxa; ana_representacionalism,6,0.667,1.0,0.8
Gusmán_Entredichos_1_p13,ana_literature,"Poder de la Literatura: diferencia radical, desvío, interrogación, silencio, ausencia",diferencia que la literatura impone; fantasmas ecológicos; predicciones apocalípticas; ideales de redención; literatura de post,ana_literature; ana_ideology; ana_resistance; ana_history; ana_new,5,0.2,1.0,0.333
Gusmán_Entredichos_1_p15,ana_literature,"Poder de la Literatura: diferencia radical, desvío, interrogación, silencio, ausencia",adentro y el afuera; el nudo; literatura de post; literatura de la dispersión; unidad; discurso del amo,ana_literature; ana_sitio; ana_polcult; ana_history; ana_langpower; ana_writing; ana_paradoxa; ana_resistance,8,0.125,1.0,0.222
Gusmán_Entredichos_1_p16,ana_sitio,Concepto de Sitio/Lugar para el Trabajo Intelectual/de la Lectura,la cifra insoportable; el decir estoico; nudo en la garganta; palabra muda; teatro de máscaras; la muerte; el sitio; el número,ana_langpower; ana_literature; ana_psychoanalysis; ana_writing; ana_blanchot; ana_paradoxa; ana_rethoric; ana_resistance,8,0.0,0.0,0.0
