lemma,n_instances,n_paragraphs,tfidf_rank,example_forms,example_para_ids,enrichment_score,in_current_seeds,keep
historico,67,62,53,novela histórica; dimensión histórica; sentido histórico,Jinkis_Entredichos_1_p11; Gusmán_Entredichos_1_p7,0.797,False,
lugar,66,61,40,lugar; lugar de la poesía; lugar común,Gusmán_Entredichos_1_p9,0.546,False,
espiritu,66,60,36,espíritu; espíritu del apartamiento; llama del espíritu,,-0.319,False,
argentino,63,60,49,literatura argentina; argentinos; cultura argentina,,1.236,False,
cultura,66,59,69,cultura; política de la cultura; cultura argentina,Jinkis_Entredichos_1_p6; Jinkis_Entredichos_1_p14,1.416,False,
silencio,63,58,30,silencio; silencios; silencio infinito,Jinkis_Entredichos_1_p12; Grüner_Entredichos_1_p5,0.244,True, core
sociedad,59,58,57,sociedad; sociedad argentina; sociedad política,Jinkis_Entredichos_1_p15,0.868,False,
exilio,69,56,56,exilio; discurso del exilio; exilio interior,,1.312,False,
vision,56,55,48,visión; visión del niño; visiones,,1.145,False,
ficcion,59,55,67,ficción; ficciones; ficción calculada,Gusmán_Entredichos_1_p8; Gusmán_Entredichos_1_p10,1.641,False,
intelectual,63,54,60,intelectual; intelectuales; método intelectual,Jinkis_Entredichos_1_p1; Jinkis_Entredichos_1_p10,0.944,False,
debido,57,54,51,obediencia debida; eximente de obediencia debida; eximente de la obediencia debida,,-1.329,False,
pensamiento,65,54,46,pensamiento; pensamientos; libertad de pensamiento,Jinkis_Entredichos_1_p6; Jinkis_Entredichos_1_p12,0.317,False,
tradicion,58,52,65,tradición; tradición literaria; tradición jurídica,,1.559,False,
amor,55,52,50,amor; amor de la lengua; amores,,1.206,False,
relacion,61,52,63,relación; relaciones sociales; relaciones sociales nuevas,Jinkis_Entredichos_1_p7,0.713,False,
estilo,52,51,82,estilo; disolución del estilo; estilos petrificados,,1.581,False,
superior,53,51,54,superior; oficiales superiores; orden superior,,-1.273,False,
obra,56,51,70,obra; obra literaria; obra de arte,Jinkis_Entredichos_1_p9; Jinkis_Entredichos_1_p17,2.103,False,
enunciacion,56,51,85,enunciación; enunciación imposible; enunciación política,,0.733,False,
cultural,58,50,104,códigos culturales; política cultural; patrimonio cultural,Gusmán_Entredichos_1_p3,1.438,False,
sistema,51,49,93,sistema literario; sistema; sistema de valores,Gusmán_Entredichos_1_p3,1.627,False,
personaje,50,49,90,personajes; personaje; personaje central,Gusmán_Entredichos_1_p4,1.271,False,
critica,56,49,79,crítica; crítica literaria; crítica científica,Jinkis_Entredichos_1_p5; Jinkis_Entredichos_1_p9,1.912,False,
imagen,55,47,81,imagen; imágenes; imagen y semejanza,Grüner_Entredichos_1_p10,1.317,False,
vacio,48,47,103,vacío; vacío central; tentación del vacío,Grüner_Entredichos_1_p7,1.317,False,
esencia,50,47,62,esencia; esencias; esencia adversa,,0.819,False,
etico,51,46,92,ética; meta ética; ética de la traducción,Jinkis_Entredichos_1_p16; Grüner_Entredichos_1_p6,1.341,False,
interpretacion,55,46,66,interpretación; interpretaciones; interpretación oficial,Gusmán_Entredichos_1_p12,0.483,False,
fuerza,51,46,75,fuerzas armadas; fuerza; fuerzas,,-0.05,False,
penal,51,46,72,responsabilidad penal; derecho penal; derecho penal militar,,-1.171,False,
libertad,51,45,77,libertad; libertad de pensamiento; libertad de palabra,Jinkis_Entredichos_1_p12; Jinkis_Entredichos_1_p16,0.865,False,
azul,51,45,58,azul; venado azul; alma azul,,-1.149,False,
hecho,56,45,71,hechos; hechos atroces; hechos anormales,,0.505,False,
sangre,44,44,61,sangre; sangre del pobre; mancha de sangre,,-0.005,False,
accion,50,43,99,acción; acciones; extinción de la acción penal,Gusmán_Entredichos_1_p11,-1.104,False,
codigo,51,43,109,códigos; códigos culturales; códigos socioculturales,,1.416,False,
poema,44,42,80,poema; poemas; lugar de poema,,1.961,False,
identidad,44,42,76,identidad; identidades; identidad nacional,,1.636,False,
funcion,48,42,96,función; función del intelectual; función del dinero,Jinkis_Entredichos_1_p10; Jinkis_Entredichos_1_p14; Jinkis_Entredichos_1_p16,0.042,False,
poeta,43,42,68,poeta; poetas; poetas muertos,,0.938,False,
acto,46,42,106,acto de servicio; acto de elección; acto de traducir,,0.577,False,
destino,43,42,74,destino; destino de los judíos; destino de hierro,Grüner_Entredichos_1_p12; Gusmán_Entredichos_1_p12,1.442,False,
metafora,43,42,105,metáfora; metáforas; metáforas filosóficas,Jinkis_Entredichos_1_p13; Grüner_Entredichos_1_p6; Gusmán_Entredichos_1_p7,1.807,False,
caracter,46,42,98,carácter; carácter vinculante; carácter ilícito,,0.577,False,
subordinado,41,41,83,subordinado; subordinados; subordinado militar,,-1.057,False,
escritor,44,41,100,escritor; escritores; escritor exiliado,Jinkis_Entredichos_1_p16,1.99,False,
politica,50,40,122,política de la cultura; política cultural; ideologías políticas,Jinkis_Entredichos_1_p4; Jinkis_Entredichos_1_p6,0.628,False,
pueblo,43,40,88,pueblo; pueblos; pueblo argentino,,0.091,False,
lector,48,40,108,lector; lector implícito; lector virtual,Gusmán_Entredichos_1_p11,1.497,False,
narracion,42,40,114,narración; narración picaresca; narración fantástica,Gusmán_Entredichos_1_p6,0.091,False,
retorico,43,39,142,retórica; figura retórica; disposición retórica,,1.296,False,
poetico,41,39,111,decir poético; voz poética; materialidad poética,,1.017,False,
moral,41,39,126,moral; valores morales; morales,Jinkis_Entredichos_1_p10; Jinkis_Entredichos_1_p14; Gusmán_Entredichos_1_p8,0.654,False,
autor,42,39,102,autor; derechos de autor; autor colectivo,,1.722,False,
mirada,40,39,87,mirada; dirección de la mirada; arbitrariedad de la mirada,,-1.007,False,
nacional,47,38,145,literatura nacional; identidad nacional; causa nacional,,1.927,False,
juridico,44,38,101,tradición jurídica; ordenamiento jurídico; orden jurídico,,-0.982,False,
cristiano,40,38,73,cristianos; lo maravilloso cristiano; sociedad cristiana,,0.143,False,
narrador,40,38,124,narrador; narrador picaresco; narrador representado,Gusmán_Entredichos_1_p6,1.325,False,
luz,39,38,118,luz; la luz; república de las luces universales,,0.143,False,
violencia,39,38,91,violencia; violencia doméstica; violencias,Jinkis_Entredichos_1_p1; Jinkis_Entredichos_1_p13; Grüner_Entredichos_1_p7,0.143,False,
arte,39,38,159,arte; obra de arte; arte de lo posible,Jinkis_Entredichos_1_p9; Grüner_Entredichos_1_p13,1.927,False,
recurso,41,37,115,recurso extraordinario; recurso; recursos,,0.17,False,
ciencia,39,37,160,ciencia; ciencias sociales; ciencia literaria,Jinkis_Entredichos_1_p2; Jinkis_Entredichos_1_p16,1.784,False,
naturaleza,39,37,121,naturaleza; naturaleza humana; naturaleza de los hechos,,0.17,False,
nombre,42,37,86,nombre; nombres; nombres propios,Grüner_Entredichos_1_p14,1.354,False,
teoria,45,37,140,teoría; teoría del delito; teoría política,,2.118,False,
filosofia,41,36,132,filosofía; filosofía de la historia; filosofía política,Jinkis_Entredichos_1_p2,0.737,False,
tortura,37,36,117,tortura; torturas; delito de tortura,,-0.929,False,
olvido,39,36,116,olvido; olvido de los antepasados; contrafigura del olvido,Gusmán_Entredichos_1_p6,2.299,True, core
desear,37,36,94,deseo; deseo arquitectónico-escenográfico; deseo verbal,Jinkis_Entredichos_1_p16; Grüner_Entredichos_1_p1; Grüner_Entredichos_1_p6,1.103,False,
error,39,36,119,error; errores; error afectivo,Jinkis_Entredichos_1_p9; Jinkis_Entredichos_1_p18; Grüner_Entredichos_1_p7,1.617,False,
movimiento,38,35,131,movimiento; movimiento político; movimiento de defensa,,0.226,False,
justicia,38,35,89,justicia; justicia militar; código de justicia militar,,-0.901,False,
crimen,37,35,130,crimen; crímenes; crímenes de guerra,,0.226,False,
eximente,36,35,107,eximente; eximente de obediencia debida; eximente de culpabilidad,,-0.901,False,
procedimiento,36,35,146,procedimiento; procedimientos literarios; procedimiento alegórico,Gusmán_Entredichos_1_p7,0.767,False,
voluntad,35,35,97,voluntad; buena voluntad; hombres de buena voluntad,,0.226,False,
letra,36,35,152,letra; letras; buena letra,Grüner_Entredichos_1_p12; Gusmán_Entredichos_1_p16,1.416,False,
comun,36,35,139,delitos comunes; lugar común; lugares comunes,Gusmán_Entredichos_1_p3,1.133,False,
hijo,38,35,64,hijo; Hijo de Dios; hijos de Jacob,,-0.901,False,
edad,34,34,129,Edad Media; edad; Edad Media gótica,,1.165,False,
principio,36,34,123,principios; petición de principio; principio de igualdad,Grüner_Entredichos_1_p5,0.256,False,
aurora,34,34,95,aurora; descendientes de la aurora; A un muerto en la aurora,,-0.872,False,
pasion,35,34,155,pasión; pasiones; pasión brasilera,Jinkis_Entredichos_1_p17; Grüner_Entredichos_1_p7,1.165,False,
punto,37,34,135,punto de vista; puntos; punto de partida,,0.797,False,
sujeto,43,34,176,sujeto; sujeto de la enunciación; sujeto político,Grüner_Entredichos_1_p13,1.884,False,
espejo,33,33,125,espejo; espejos; juego de espejos,Gusmán_Entredichos_1_p3,0.286,False,
divino,34,33,84,Voluntad divina; regulaciones de los hechos humanos y divinos; naturaleza divina,,0.286,False,
autoridad,36,33,137,autoridad; autoridad legal; autoridades,,-0.843,False,
muerto,33,32,112,muerto; muertos; lengua muerta,,1.23,False,
tierra,32,32,78,tierra; cielo y la tierra; posesión de la tierra,,-0.812,False,
apartamiento,34,32,110,apartamiento; espíritu del apartamiento; cantar del apartamiento,,-0.812,False,
conocimiento,34,32,128,conocimiento; conocimiento perfecto; conocimientos,Gusmán_Entredichos_1_p7,1.23,False,
experiencia,33,31,153,experiencia; experiencias socioculturales; experiencia mística,Grüner_Entredichos_1_p12; Gusmán_Entredichos_1_p6,0.894,False,
trabajo,32,31,148,trabajo; trabajo sin cesar; trabajo literario,,0.35,False,
deber,32,31,154,deber de obediencia; deber de obedecer; el deber,,-0.781,False,
cielo,31,31,134,cielo; cielo estrellado; cielo solitario,,-0.781,False,
valor,38,31,164,sistema de valores; valores; valor,Jinkis_Entredichos_1_p8; Gusmán_Entredichos_1_p3,1.265,False,
campo,31,31,190,campo de concentración; campos; campo intelectual,,0.894,False,
libro,33,31,136,libro; libros; libro de memorias,Jinkis_Entredichos_1_p9,1.265,False,
cine,36,31,158,cine; realizador de cine; imagen en cine,,-0.781,False,
publico,33,31,161,público; libertad de discusión pública; administración pública,Jinkis_Entredichos_1_p9; Jinkis_Entredichos_1_p17,0.894,False,
blanco,38,30,156,página blanca; espacio blanco; blanco,,0.928,False,
sol,32,30,169,sol; soles; el mundo gira alrededor del sol,,-0.749,False,
recordar,32,30,127,recuerdo; recordar; acto de recordar,,0.928,False,
juego,30,30,162,juego; juegos de palabras; juegos temporales,,0.928,False,
condicion,31,30,165,condición militar; baja condición; condiciones,,0.928,False,
fantastico,37,30,204,literatura fantástica; lo fantástico; género fantástico,,2.035,False,
simbolico,29,29,174,simbólico; forma simbólica; lo simbólico puro,,0.964,False,
miedo,29,29,113,miedo; miedo de muerte; fluido del miedo,Jinkis_Entredichos_1_p16,0.418,False,
estetica,30,29,226,estética; estética moderna; estética romántica,,1.627,False,
ausencia,29,29,147,ausencia; ausencia de tiempo; ausencia de origen,Grüner_Entredichos_1_p7; Grüner_Entredichos_1_p12,1.627,True, core
mandato,30,29,141,mandato; mandatos antijurídicos; mandato delictivo,,-0.716,False,
ensayo,33,29,171,ensayo; ensayo argentino; ensayos,Gusmán_Entredichos_1_p8,2.434,False,
figura,29,29,170,figuras; figura retórica; figura femenina,,1.338,False,
escena,32,28,168,escena; puesta en escena; escenas,,0.453,False,
analisis,35,28,173,análisis del discurso; análisis político; análisis literario,,0.453,False,
desierto,29,28,133,desierto; desiertos; tabernáculos desiertos,,0.453,False,
angustiar,28,28,143,angustia,,-0.681,False,
forma,31,28,192,forma; formas; forma corrompida del hombre,Jinkis_Entredichos_1_p1; Grüner_Entredichos_1_p12,1.001,False,
narrativo,32,28,227,narrativa; estructura narrativa; sintaxis narrativa,Gusmán_Entredichos_1_p11,1.376,False,
ocaso,28,28,150,ocaso; oriente y ocaso del sol; ocasos,,-0.681,False,
textual,29,28,246,cuerpo textual; hueco textual; marcas textuales,,2.12,False,
interior,29,27,181,mundo interior; interior; exilio interior,,0.49,False,
ciudad,28,27,144,ciudad; ciudades; lentes de la ciudad,,0.49,False,
simbolo,29,27,157,símbolo; símbolos; perennidad del símbolo,,1.709,False,
objeto,27,27,188,objetos; objeto; degradación del objeto,Grüner_Entredichos_1_p1,1.04,False,
pecado,29,27,149,pecado; pecados; pecado original,,-0.645,False,
existencia,27,27,138,existencia; existencia apacible; creencia en la existencia del mal,Gusmán_Entredichos_1_p12,0.49,False,
iron,27,27,242,ironía,Gusmán_Entredichos_1_p6,0.49,False,
ideologia,27,27,194,ideología; ideologías; ideologías políticas,Jinkis_Entredichos_1_p2; Jinkis_Entredichos_1_p4,1.416,False,
razon,28,26,179,razón; razón de Estado; razones sociales,Grüner_Entredichos_1_p12,0.529,False,
esperanza,27,26,163,esperanza; esperanzas; esperanza totalizadora,Grüner_Entredichos_1_p12; Grüner_Entredichos_1_p14,0.529,False,
presente,26,26,180,presente; tiempo presente; presente pleno,Gusmán_Entredichos_1_p1; Gusmán_Entredichos_1_p5; Gusmán_Entredichos_1_p6,1.08,False,
mujer,29,26,187,mujer; mujeres; museo de mujeres,,0.529,False,
efecto,27,26,207,efectos; efecto; efectos de sentido,,0.529,False,
territorio,26,26,196,territorio; territorios; territorios de fronteras,Jinkis_Entredichos_1_p8; Grüner_Entredichos_1_p8,2.406,False,
imaginario,28,26,256,mundo imaginario; imaginario; significado imaginario,,0.529,False,
juicio,26,26,193,juicio; defensa en juicio; juicios de hecho,,0.529,False,
soledad,26,26,151,soledad; soledad heroica; soledad esencial,Jinkis_Entredichos_1_p17,1.08,True, core
piel,28,26,212,piel; pieles; repulsión de piel,,-0.608,False,
locura,26,25,166,locura; locura de la cruz; cruentas locuras,,1.501,False,
cuestion,25,25,172,cuestión judía; cuestión del Plata; cuestiones de hecho y prueba,,-0.57,False,
media,25,25,189,Edad Media; medias; medias largas,,1.121,False,
real,28,25,319,lo real; historia real; cuerpo real,Grüner_Entredichos_1_p13,2.046,False,
civil,27,25,208,guerra civil; derecho civil; acción civil,,-0.57,False,
posicion,27,25,215,posición; posiciones políticas; posición filosófica,Jinkis_Entredichos_1_p4; Gusmán_Entredichos_1_p7,1.121,False,
personal,26,25,178,responsabilidad personal; personal; sacrificio personal,,1.121,False,
servicio,25,25,209,servicio; orden del servicio; acto de servicio,,-0.57,False,
estructura,26,25,284,estructura narrativa; estructura material y cultural; estructura,,2.459,False,
practico,26,25,224,práctica; práctica literaria; práctica política,Jinkis_Entredichos_1_p9,1.501,False,
belleza,25,24,191,belleza; bellezas asiáticas; belleza sefardí,Grüner_Entredichos_1_p6; Grüner_Entredichos_1_p14,-0.53,False,
verbo,26,24,120,Verbo de Dios; verbo; verbo español,Jinkis_Entredichos_1_p14,0.61,False,
religioso,25,24,282,creencias religiosas; conversión religiosa; sacrificio religioso,,0.61,False,
representacion,27,24,243,representación; representación del mundo; representación moderna,Grüner_Entredichos_1_p9,1.165,False,
constitucional,24,24,184,orden constitucional; gobierno constitucional; garantía constitucional,,-0.53,False,
humanidad,24,24,177,humanidad; historia de la humanidad; desesperaciones de la humanidad,,0.61,False,
traicion,24,24,229,traición; traiciones; traición al texto,Jinkis_Entredichos_1_p9; Jinkis_Entredichos_1_p16; Jinkis_Entredichos_1_p17,1.547,False,
tribunal,25,24,167,tribunal; tribunal de grado; tribunal de honor,,-0.53,False,
natural,25,24,249,orden natural de las cosas; elemento natural; orden natural físico y psíquico,,0.61,False,
ilusion,26,24,200,ilusión; ilusiones; ilusiones públicas,Jinkis_Entredichos_1_p9,0.61,False,
risa,24,24,232,risa; la risa del tiempo; risa infernal,,1.547,False,
familia,24,24,185,familia; familia noble; familias,,-0.53,False,
clase,29,24,257,clase media; clase lógica; clase media baja,,1.165,False,
dialogo,24,24,222,diálogo; diálogos; diálogos intercambiables,,0.61,False,
metodo,27,24,216,método; método intelectual; método de lectura,,1.846,False,
prueba,29,24,202,prueba; pruebas; pruebas de cargo,,-0.53,False,
acontecimiento,24,23,259,acontecimiento; acontecimientos; acontecimientos sobrenaturales,,1.21,False,
universo,23,23,186,universo; universos; universo de lenguaje,Jinkis_Entredichos_1_p6,1.21,False,
atroz,24,23,225,delitos atroces; hechos atroces; crímenes atroces,,0.654,False,
erotico,29,23,300,poesía erótica; erótico; carga erótica,,1.594,False,
femenino,25,23,279,cuerpo femenino; lo femenino; figura femenina,,-0.488,False,
viaje,25,23,205,viaje; viaje en lo desconocido; viajes,Gusmán_Entredichos_1_p8,0.654,False,
musica,24,23,248,música; música culta; música cubana,,0.654,False,
interes,26,23,302,interés político; interés; intereses,,-0.488,False,
oro,23,23,252,oro; polvo de oro; anillo de oro,,-0.488,False,
persecucion,25,23,213,persecución; persecuciones; persecución religiosa,,-0.488,False,
pais,24,23,221,país; país del atardecer; países,,1.21,False,
raza,25,23,214,raza; raza semítica; razas,,1.21,False,
oscuridad,23,23,247,oscuridad; oscuridad del plan,,-0.488,False,
espanol,27,23,195,verbo español; teatro español; Inquisición española,,0.654,False,
sentencia,23,23,217,sentencia; sentencia del Legislativo; sentencia apelada,,0.654,False,
limite,25,23,233,límite; límites; límites geográficos,Grüner_Entredichos_1_p12,2.149,False,
defensa,22,22,203,defensa; defensa legal; defensa en juicio,,-0.445,False,
persona,28,22,281,primera persona; tercera persona; reconocimiento de la persona,,-0.445,False,
memoria,22,22,258,memorias; libro de memorias; memoria bergsoniana,,1.258,False,
material,22,22,301,material; materiales; estructura material y cultural,,0.699,False,
carta,23,22,175,carta; cartas; cartas españolas,,-0.445,False,
operacion,23,22,307,operación; operaciones; operación poética,,-0.445,False,
misterio,23,22,210,misterio; misterios; sensación de misterio,,-0.445,False,
carne,22,22,199,carne; carnes; carne semita,,-0.445,False,
metafisico,22,22,286,metafísica; metafísico; matiz metafísico,,1.258,False,
censura,24,22,241,censura; adversario de la censura; censura legal,Jinkis_Entredichos_1_p12; Jinkis_Entredichos_1_p13; Gusmán_Entredichos_1_p5,-0.445,False,
causa,22,22,230,causa; causa justificada; causa nacional,Grüner_Entredichos_1_p14,0.699,False,
critico,25,22,267,crítico; críticos; palabra crítica,,1.644,False,
sendero,21,21,182,sendero; senderos; sendero del extranjero,,-0.399,False,
realismo,23,21,316,realismo; realismo político; realismo diestro,Jinkis_Entredichos_1_p10; Gusmán_Entredichos_1_p5,0.747,False,
ilicito,22,21,272,ilícito; carácter ilícito; hechos ilícitos,,-0.399,False,
convencion,22,21,265,convención; convenciones; convención literaria,,0.747,False,
delirio,23,21,198,delirio; delirio sobrenatural; delirios políticos,,-0.399,False,
rostro,21,21,244,rostro; rostro de Jano; rostro social,,0.747,False,
oficial,23,21,327,defensor oficial; discurso oficial; oficiales superiores,,-0.399,False,
signo,23,21,211,signos; signo; mal signo,,1.308,False,
animal,22,21,254,animal; animales; animales ponzoñosos,,-0.399,False,
absoluto,22,21,269,inhabilitación absoluta perpetua; Absoluto; presunción absoluta,,1.308,False,
enigma,21,21,295,enigma; enigmas; enigma histórico,,1.308,False,
plenitud,22,21,183,plenitud mental; plenitud; plenitud del saber,,-0.399,False,
nostalgia,21,21,219,nostalgia; nostalgia del orden; nostalgia de Europa,Gusmán_Entredichos_1_p14,0.747,False,
sombra,21,21,231,sombra; sombras; sombras del mal,Grüner_Entredichos_1_p1,-0.399,False,
origen,22,21,251,origen; orígenes; ausencia de origen,Jinkis_Entredichos_1_p17; Grüner_Entredichos_1_p12; Gusmán_Entredichos_1_p6,2.004,False,
nacion,21,21,235,nación; naciones; nación dentro de la nación,,1.308,False,
general,21,21,283,lo general; procurador general; normas generales y abstractas,Gusmán_Entredichos_1_p3,0.747,False,
dominio,22,21,354,dominio; ritual del dominio; dominio sexual,,-0.399,False,
padre,27,21,275,padre; padre contra hijo; hijo contra padre,,0.747,False,
ideologico,22,21,390,proyecto ideológico; comodidad ideológica; declaracionismo ideológico,Jinkis_Entredichos_1_p5,0.747,False,
mental,21,21,223,plenitud mental; enfermedad mental; hospital para enfermos mentales,,1.308,False,
imaginacion,20,20,280,imaginación; imaginación extravagante; imaginación del lector,Jinkis_Entredichos_1_p4; Jinkis_Entredichos_1_p5,0.797,False,
distancia,20,20,255,distancia; distancia frente a la forma; distancia económica,,-0.352,False,
culpabilidad,20,20,266,culpabilidad; eximente de culpabilidad; causa excluyente de la culpabilidad,Grüner_Entredichos_1_p8,0.797,False,
terror,21,20,304,terror; terrores; terror al error,Grüner_Entredichos_1_p7,0.797,False,
frase,21,20,290,frase; frases hechas; frases,,-0.352,False,
frances,20,20,359,simbolismo francés; cultura francesa; Revolución francesa,,0.797,False,
enemigo,23,20,271,enemigo extranjero; enemigo; enemigos,,-0.352,False,
eternidad,20,20,201,eternidad; eternidades; la eternidad,,0.797,False,
negro,21,20,322,piedra negra; adolescente negro; harapos negros,,-0.352,False,
plano,24,20,351,primer plano; plano; espacio plano,,-0.352,False,
agua,20,20,299,agua; aguas; aguas territoriales,,0.797,False,
estetico,22,20,397,estéticas; verdad estética; estremecimiento estético,Jinkis_Entredichos_1_p14; Grüner_Entredichos_1_p6,2.326,False,
linea,21,20,334,lectura entre líneas; escribir entre líneas; entre líneas,,-0.352,False,
maquina,22,20,333,máquina; máquinas; máquina del tiempo,Gusmán_Entredichos_1_p7,-0.352,False,
significado,24,20,348,significado; significados; significado imaginario,Jinkis_Entredichos_1_p7; Grüner_Entredichos_1_p12,1.36,False,
logica,20,20,342,lógica; lógica de caballo; lógica topográfica,Jinkis_Entredichos_1_p2,-0.352,False,
ano,21,20,197,años sagrados; año sagrado; años,,-0.352,False,
economico,21,20,353,categoría económica; nueva teoría económica; progreso económico,Jinkis_Entredichos_1_p13,0.797,False,
fisico,22,20,238,discapacidad física; orden natural físico y psíquico; físico,,0.797,False,
disposicion,20,20,234,disposición retórica; disposición; disposiciones de Dios,,-0.352,False,
referencia,23,20,268,referencia; referencias literarias; referencias,,0.797,False,
sonido,19,19,253,sonido; sonidos; imagen y el sonido,Grüner_Entredichos_1_p12,0.85,False,
crepusculo,19,19,245,crepúsculo; crepúsculo sagrado; crepúsculo vespertino,,-0.302,False,
castigo,19,19,218,castigo; castigo divino; Castigo definitivo,,0.85,False,
ideal,20,19,360,ideal; ideales; modelo ideal,Gusmán_Entredichos_1_p1; Gusmán_Entredichos_1_p6; Gusmán_Entredichos_1_p9,1.416,False,
proceso,20,19,343,debido proceso; proceso; proceso constructivo,,-0.302,False,
creencia,26,19,393,creencia; creencias; creencias religiosas,,1.416,False,
creacion,20,19,372,creación; creación verbal; creación auténtica,Jinkis_Entredichos_1_p8; Jinkis_Entredichos_1_p16,1.811,False,
